index,cameraName,cameraIndexCode,gbIndexCode,channelNo,hlsUrl
134,中电信息港6栋A座前厅,f7f83d94aeb24751b9a2886e1e50f002,42011101581314000418,16,http://111.4.138.205:18080/hls/f7f83d94aeb24751b9a2886e1e50f002/index.m3u8
135,中电信息港8A一层前厅,a79ef02f62a14d638192f4fa42ba9598,42011101581314000417,28,http://111.4.138.205:18080/hls/a79ef02f62a14d638192f4fa42ba9598/index.m3u8
136,中电信息港5A一层前厅,361df2de93254f1592d4511ac80702fe,42011101581314000416,31,http://111.4.138.205:18080/hls/361df2de93254f1592d4511ac80702fe/index.m3u8
137,中电信息港5B一层前厅,167f85a42acc45d683931d94a3e9d496,42011101581314000415,33,http://111.4.138.205:18080/hls/167f85a42acc45d683931d94a3e9d496/index.m3u8
138,信息港物业办公室,5b2cd28df9dc41638662c8214c4c3688,42011101581314000279,1,http://111.4.138.205:18080/hls/5b2cd28df9dc41638662c8214c4c3688/index.m3u8
139,信息港物业大厅,7b7f8ed66f8041ba8beb48211aa0f892,42011101581314000278,2,http://111.4.138.205:18080/hls/7b7f8ed66f8041ba8beb48211aa0f892/index.m3u8
140,配电房,1536aaf1a2aa4a0d8ba8ba14e6ab73ff,42011101581314000275,1,http://111.4.138.205:18080/hls/1536aaf1a2aa4a0d8ba8ba14e6ab73ff/index.m3u8
141,物业办公室1,a7ad3ca0d5dd4a25926f41e8d01915d5,42011101581314000274,2,http://111.4.138.205:18080/hls/a7ad3ca0d5dd4a25926f41e8d01915d5/index.m3u8
142,A座自营栋,cf8e2ef8d18d4e0a94e40e683d3a5673,42011101581314000273,3,http://111.4.138.205:18080/hls/cf8e2ef8d18d4e0a94e40e683d3a5673/index.m3u8
143,监控室,0f8b39b0497441eb89ee5a7fb93f3784,42011101581314000272,4,http://111.4.138.205:18080/hls/0f8b39b0497441eb89ee5a7fb93f3784/index.m3u8
144,物业办公室,e44efe2beaaa4fa991b0efbd025a1e6b,42011101581314000271,5,http://111.4.138.205:18080/hls/e44efe2beaaa4fa991b0efbd025a1e6b/index.m3u8
145,物业办公室2,6b7281522e1248c2bb1345a01808d364,42011101581314000270,6,http://111.4.138.205:18080/hls/6b7281522e1248c2bb1345a01808d364/index.m3u8
